Split_Type,Holdout,RMSE,MAE,R2,Pearson_r,Within_5s,Within_10s,Within_30s,N_test
scaffold,1,140.98172809357246,88.39142608642578,0.8916283249855042,0.944375,4.162466397849462,8.942372311827956,27.62096774193548,23808
scaffold,2,123.80834325430173,76.92945861816406,0.9123020768165588,0.95534533,6.27940188172043,12.399193548387096,35.3536626344086,23808
scaffold,3,115.03908982385074,73.91236877441406,0.9095489382743835,0.9554862,7.917506720430108,15.259576612903224,37.77721774193548,23808
scaffold,4,119.63176737649997,78.3007583618164,0.8983069658279419,0.94837326,5.775369623655914,10.87869623655914,32.85030241935484,23808
scaffold,5,126.35064444458722,79.90790557861328,0.9021821618080139,0.95184314,5.847019784097114,11.610030663250305,31.940185659679926,23807
method,1,837.952340530176,545.9761352539062,0.166728675365448,0.71702766,0.9850107066381156,2.2483940042826553,7.002141327623127,4670
method,2,289.17671392247337,216.69261169433594,-0.9128282070159912,0.62963456,2.07688908528502,4.3968183826778615,11.79849756959788,4526
method,3,118.8448387736085,91.5641098022461,0.7140350341796875,0.8807232,3.4008097165991904,7.017543859649122,21.67341430499325,3705
method,4,84.3053155528686,68.921630859375,0.9211621880531311,0.976107,0.7777113067259209,2.149388941116144,7.294248354841466,23402
method,5,395.7976321619421,362.9433288574219,-1.8623104095458984,0.5904406,1.2316283117385418,1.700589827886289,2.2118545735834463,82736
cluster,1,150.24675017284068,89.70820617675781,0.8870715498924255,0.9443916,5.80960008940712,11.809190306778177,32.890643917521935,53687
cluster,2,127.27859913149186,86.35260772705078,0.8190053105354309,0.9126861,5.179352580927384,10.20559930008749,29.615048118985126,22860
cluster,3,121.70013898153526,85.755126953125,0.8091520071029663,0.90011877,4.61156914002279,9.437629867953616,26.06072793082646,14919
cluster,4,125.99165631476356,80.98660278320312,0.8291792273521423,0.912672,5.754134593399893,11.241521225516347,31.003734471457967,13121
cluster,5,163.00860310885435,100.55814361572266,0.8582555055618286,0.92902863,5.452532521450318,10.52449487960144,28.473567672294493,14452
Scaffold (avg),—,125.16231459856242,79.48838348388672,0.9027936935424805,0.9510846,5.996352881550605,11.817973874585544,33.10846723946287,119039
Method (avg),—,345.21536818821374,257.21956329345704,-0.1946425437927246,0.7587866,1.6944098253973578,3.5025470031224146,9.996031226127833,119039
Cluster (avg),—,137.64514954189713,88.67213745117188,0.8405327200889587,0.9197794,5.361437785041501,10.643687115987415,29.608744422217192,119039
Overall (avg),—,202.6742774428911,141.7933614095052,0.5162279566129049,0.87655014,4.350733497329822,8.654735997898458,24.2377476292693,357117
